시/도,시/군/구,서점명,매장번호,주소,인증여부,좌표
서울특별시,마포구,gaga77page,010-5769-0377,서울 마포구 망원로 74-1 (망원동) 지하 1층,미인증,"37.553711, 126.909416"
서울특별시,동작구,더북스,070-7574-4283,서울 동작구 상도로 37 (대방동)101호,인증,"37.503261, 126.929946"
서울특별시,노원구,(신)보람문고,02-935-4999,서울 노원구 한글비석로 466 (상계동),미인증,"37.659408, 127.056444"
서울특별시,광진구,(주)공손서점,02-444-1570,"서울 광진구 아차산로70길 17-17 (광장동, 삼성아파트) 1차상가 103호 공손서점",미인증,"37.537788, 127.081454"
서울특별시,강서구,(주)나라문고,02-2603-3231,서울 강서구 강서로 247 (화곡동) 지층,미인증,"37.530815, 126.837937"
서울특별시,영등포구,(주)와우북 트윈점,02-783-2929,서울 영등포구 여의대로 128 (여의도동) 엘지트윈타워 동관 지하 1층,미인증,"37.522599, 126.924728"
서울특별시,마포구,1984,02-325-1984,서울 마포구 동교로 194 (동교동),미인증,"37.556666, 126.919347"
서울특별시,강남구,21세기문고,02-3463-1880,서울 강남구 남부순환로359길 31 (도곡동),미인증,"37.492603, 127.045236"
서울특별시,강남구,C&S서점,02-2190-2178,서울 강남구 남부순환로 2806 (도곡동) 지하 1층,미인증,"37.488794, 127.037792"
서울특별시,종로구,Chinabook 중국서점,02-722-4688,서울 종로구 종로 19 (종로1가),미인증,"37.570616, 126.981348"
서울특별시,종로구,Off to Alone,010-1111-0000,서울 종로구 자하문로15길 26-4 (통인동),미인증,"37.581706, 126.966496"
서울특별시,강북구,SK문고,02-945-1959,서울 강북구 솔샘로 215 2층 (미아동),인증,"37.620918, 127.020275"
서울특별시,마포구,ZEROHUNDRED,010-5651-1324,"서울 마포구 망원로2길 19 (망원동, 호강주택)",미인증,"37.558590, 126.907662"
서울특별시,금천구,가람프라자,02-891-7474,서울 금천구 시흥대로41길 95 (시흥동),미인증,"37.448836, 126.903936"
서울특별시,종로구,각자의 삶,02-765-7577,서울 종로구 창덕궁길 169 (가회동) 1층,미인증,"37.581402, 126.984678"
서울특별시,성북구,갑을문고,02-3292-0002,"서울 성북구 화랑로11길 26 (하월곡동, 월곡갑을명가) b101호",인증,"37.604702, 127.039537"
서울특별시,강서구,강서문고,02-2692-6954,서울 강서구 화곡동 362-83 지하,미인증,"37.535946, 126.847660"
서울특별시,양천구,강서서점,02-2651-1085,서울 양천구 목동 736-18 1층 강서서점,미인증,"37.533932, 126.873905"
서울특별시,송파구,개롱서점,02-403-1603,서울 송파구 오금로 414 (가락동),인증,"37.496714, 127.130409"
서울특별시,서초구,거목서점,02-3476-1585,서울 서초구 신반포로 213 (잠원동)반포쇼핑타운7동 지하,인증,"37.511902, 127.011359"
서울특별시,종로구,건강책방 일일호일,02-737-1101,서울 종로구 자하문로 52 (창성동),미인증,"37.582124, 126.966533"
서울특별시,노원구,건영문고,02-949-2148,서울 노원구 섬밭로 258 (중계동) 지하 1층,미인증,"37.658438, 127.071380"
서울특별시,강서구,게으른 오후,070-8862-9632,서울 강서구 양천로30길 46 (마곡동) 1층,미인증,"37.563413, 126.820293"
서울특별시,성동구,경일서점,02-497-5670,서울 성동구 성수일로 33 (성수동1가),미인증,"37.545594, 127.055148"
서울특별시,마포구,경험서재,02-711-7932,서울 마포구 백범로 35 (신수동) 서강대학교 곤자가홀 1층,미인증,"37.549895, 126.935258"
서울특별시,동대문구,경희문고,02-957-7799,서울 동대문구 회기로 113 (회기동),미인증,"37.591606, 127.053883"
서울특별시,성북구,계성문고,02-943-5398,"서울 성북구 길음로 33 (길음동, 길음뉴타운)래미안8단지상가 B동 2층",미인증,"37.602769, 127.018112"
서울특별시,용산구,고래서점,02-717-8346,서울 용산구 한강대로 307 (갈월동),미인증,"37.531564, 126.964027"
서울특별시,강서구,고려서점,,서울 강서구 내발산동 680-7 지층,미인증,"37.551531, 126.838278"
서울특별시,용산구,고요서사,010-7262-4226,서울 용산구 신흥로15길 18-4 (용산동2가),미인증,"37.533013, 126.961640"
서울특별시,중구,고정환독립서점,010-8942-9108,서울 중구 을지로20길 32-3 (인현동2가) 203호,미인증,"37.558575, 126.943939"
서울특별시,동작구,곰북스서점,02-821-5672,서울 동작구 양녕로 186 (상도동) 지층,미인증,"37.594662, 127.003419"
서울특별시,종로구,공간과몰입,010-4963-8097,서울 종로구 낙산길 19 (동숭동) 1층,미인증,"37.552589, 126.921817"
서울특별시,마포구,공상온도,02-336-0247,서울 마포구 동교로23길 40 (동교동) 지1층,미인증,"37.631764, 127.073648"
서울특별시,양천구,공신서점,02-2699-4002,서울 양천구 신정로13길 22 (신정동)대림프라자 103호,미인증,"37.615778, 127.071229"
서울특별시,노원구,공일서적,02-972-6407,서울 노원구 공릉로 101 (공릉동),미인증,"37.618225, 126.928566"
서울특별시,종로구,과학책방 갈다,02-723-1018,서울 종로구 삼청로10길 18 (삼청동),미인증,"37.620837, 127.071608"
서울특별시,은평구,광명문고,02-303-0524,서울 은평구 수색로 268 (수색동),인증,"37.624227, 127.086163"
서울특별시,노원구,광운대학교 구내서점,02-911-8336,서울 노원구 광운로 20 (월계동) 비마관 2층,미인증,"37.616316, 127.077842"
서울특별시,광진구,광진서적,02-455-2999,"서울 광진구 광나루로36길 76 (구의동) 함녕빌딩 101, 102호",미인증,"37.491803, 126.998121"
서울특별시,강남구,광평서점,02-445-6842,서울 강남구 광평로 63 (일원동)정오빌딩 1층 103호 광평서점,미인증,"37.483297, 127.125974"
서울특별시,강서구,교보서적,070-1321-6148,서울 강서구 양천로 87 (방화동),미인증,"37.568122, 126.824303"
서울특별시,구로구,구일서점,02-853-0191,서울 구로구 구일로4길 66 (구로동),미인증,"37.497678, 126.880872"
서울특별시,강서구,굿모닝북스,070-7542-6775,서울 강서구 마곡중앙10로 10 (마곡동) 통합지원센터지하 2층,미인증,"37.558244, 126.826635"
서울특별시,관악구,그날이오면,02-885-8290,서울 관악구 신림로14길 26 (신림동),미인증,"37.483333, 126.913904"
서울특별시,노원구,그랜드문고,02-938-1065,서울 노원구 한글비석로 253 (중계동) 지하 1층,미인증,"37.655464, 127.062269"
서울특별시,용산구,그린서적,02-797-5497,서울 용산구 보광로7길 46 (보광동),미인증,"37.541295, 126.991231"
서울특별시,마포구,그림책방 곰곰,02-335-2041,서울 마포구 성미산로23길 16-5 (연남동) B03호,미인증,"37.555618, 126.919949"
서울특별시,영등포구,그림책방 노른자,0507-1351-0173,서울 영등포구 영등포로5길 28 (양평동2가) 하나름마트 건물 2층,미인증,"37.517237, 126.905546"
서울특별시,성북구,그림책방 종달새의 마음,010-2416-3165,서울 성북구 월곡로 54 (종암동) 1층,미인증,"37.589232, 127.030652"
서울특별시,강남구,글벗서점,02-557-8910,서울 강남구 도곡로 516 (대치동),미인증,"37.505968, 127.057954"
서울특별시,마포구,글벗서점,02-333-1382,서울 마포구 신촌로 48 (동교동) 지층~2층,미인증,"37.551866, 126.928814"
서울특별시,은평구,글벗서점,02-302-6621,서울 은평구 신사동 23-4 1층,미인증,"37.602458, 126.930317"
서울특별시,양천구,글빛문고,02-2642-8360,"서울 양천구 목동중앙로 43 (목동, 목동 글로리파크) 지하1층 글빛문고",미인증,"37.619579, 127.031935"
서울특별시,성북구,글숲책방,010-6224-0321,서울 성북구 정릉로24길 57-6 (정릉동),미인증,"37.616038, 127.010086"
서울특별시,서초구,금성서적,02-599-4148,서울 서초구 신반포로3길 8 (반포동) 지하 1층 143호,미인증,"37.487829, 127.004174"
서울특별시,양천구,꽃피는책,0507-1306-0858,서울 양천구 목동중앙북로16길 58 (목동),미인증,"37.525684, 126.872326"
서울특별시,강남구,나나문고,02-571-4495,"서울 강남구 선릉로 221 (도곡동, 도곡렉슬아파트)",미인증,"37.503225, 127.048363"
서울특별시,강서구,나무곁에 서서,010-8963-0186,서울 강서구 강서로76길 19 (가양동) 1층,미인증,"37.558344, 126.848195"
서울특별시,광진구,날일달월,02-457-0102,"서울 광진구 아차산로78길 7 (광장동, 유진스웰) B202호",미인증,"37.545379, 127.084342"
서울특별시,성동구,낫저스트북스,070-4112-2016,서울 성동구 서울숲길 46-1 (성수동1가) 위드플랜츠 내,미인증,"37.544113, 127.041763"
서울특별시,구로구,넘실넘실,02-447-8252,서울 구로구 새말로18길 32 (구로동) 2층,미인증,"37.485641, 126.891714"
