"동별(1)","항목",2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4
"동별(1)","항목",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"합계","계",9638799,218060,306295,359209,388426,601307,838877,802933,671858,755258,698227,812501,722599,719553,615216,419397,322211,229238,110645,36922,8583,1484,9635445,212924,301757,358466,385192,595514,836461,806395,668757,751051,696193,808204,726195,719388,624258,424005,326888,230796,114550,37983,8925,1543
"합계","한국인",9386034,213014,300548,355014,378197,555058,800753,777975,649430,737027,683046,793687,701870,706835,609103,417048,321421,228831,110383,36809,8537,1448,9384739,209009,295796,353965,379086,553782,795019,780795,645621,732236,680646,790384,706596,704494,617446,421161,325880,230351,114248,37851,8873,1500
"합계","등록외국인",252765,5046,5747,4195,10229,46249,38124,24958,22428,18231,15181,18814,20729,12718,6113,2349,790,407,262,113,46,36,250706,3915,5961,4501,6106,41732,41442,25600,23136,18815,15547,17820,19599,14894,6812,2844,1008,445,302,132,52,43
"종로구","계",150453,2543,3791,4734,5790,12649,14520,11751,9166,10461,9899,12892,11891,11602,9511,6277,5309,4342,2324,764,202,35,150550,2470,3689,4706,5594,12369,15016,11892,9114,10444,9816,12721,11921,11671,9655,6332,5379,4342,2357,804,218,40
"종로구","한국인",139417,2342,3577,4540,5199,9113,12383,10882,8440,9783,9411,12414,11501,11332,9357,6218,5285,4328,2316,760,201,35,139498,2300,3478,4477,5287,9156,12461,10945,8356,9752,9305,12244,11526,11367,9495,6273,5345,4327,2348,799,217,40
"종로구","등록외국인",11036,201,214,194,591,3536,2137,869,726,678,488,478,390,270,154,59,24,14,8,4,1,-,11052,170,211,229,307,3213,2555,947,758,692,511,477,395,304,160,59,34,15,9,5,1,-
"중구","계",131793,2924,3219,3144,3711,8736,12677,12622,10231,9828,8302,10365,9962,10152,8781,5874,4754,3693,1908,709,172,29,131812,2822,3162,3123,3578,8285,12795,12826,10370,9864,8245,10266,10044,10130,8971,5931,4774,3749,1948,722,177,30
"중구","한국인",121312,2687,2943,2898,3258,6727,10810,11558,9306,9104,7665,9725,9343,9763,8570,5766,4725,3669,1892,704,172,27,121602,2646,2883,2882,3277,6687,10767,11751,9393,9109,7616,9623,9441,9676,8735,5814,4733,3720,1929,715,177,28
"중구","등록외국인",10481,237,276,246,453,2009,1867,1064,925,724,637,640,619,389,211,108,29,24,16,5,-,2,10210,176,279,241,301,1598,2028,1075,977,755,629,643,603,454,236,117,41,29,19,7,-,2
