"동별(1)",동별(2),2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4
"동별(1)",동별(2),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",소계,4485819,9635445,4644729,4990716,9384739,4536128,4848611,250706,108601,142105,2.09,1768948
"합계",종로구,72404,150550,71861,78689,139498,67228,72270,11052,4633,6419,1.93,29127
"합계",중구,65132,131812,63506,68306,121602,58767,62835,10210,4739,5471,1.87,26302
"합계",용산구,106272,223433,107837,115596,209849,100488,109361,13584,7349,6235,1.97,39671
"합계",성동구,133374,284258,137288,146970,276964,134232,142732,7294,3056,4238,2.08,50098
"합계",광진구,170557,350925,167245,183680,335105,160888,174217,15820,6357,9463,1.96,57768
"합계",동대문구,174010,360211,174269,185942,341987,167574,174413,18224,6695,11529,1.97,67880
"합계",중랑구,188653,387433,189247,198186,381966,187102,194864,5467,2145,3322,2.02,80250
"합계",성북구,197445,436901,208020,228881,424881,203700,221181,12020,4320,7700,2.15,81280
"합계",강북구,143338,291372,140165,151207,286400,138474,147926,4972,1691,3281,2.00,69366
"합계",도봉구,138756,308864,149248,159616,306346,148366,157980,2518,882,1636,2.21,71572
"합계",노원구,218665,501727,240454,261273,497064,238492,258572,4663,1962,2701,2.27,97596
"합계",은평구,216340,470185,222757,247428,466007,221117,244890,4178,1640,2538,2.15,95209
"합계",서대문구,147467,320378,149598,170780,305986,145110,160876,14392,4488,9904,2.07,58797
"합계",마포구,181745,374962,173740,201222,363645,169745,193900,11317,3995,7322,2.00,58592
"합계",양천구,180619,437774,213335,224439,434528,212015,222513,3246,1320,1926,2.41,77423
"합계",강서구,274326,567159,271440,295719,561386,268922,292464,5773,2518,3255,2.05,103825
"합계",구로구,184333,414271,203935,210336,391387,191789,199598,22884,12146,10738,2.12,81360
"합계",금천구,120985,240680,121351,119329,227160,114278,112882,13520,7073,6447,1.88,46198
"합계",영등포구,191709,397942,195330,202612,375148,183680,191468,22794,11650,11144,1.96,68650
"합계",동작구,187417,389576,187525,202051,378649,183036,195613,10927,4489,6438,2.02,71335
"합계",관악구,286257,497827,249130,248697,481958,242765,239193,15869,6365,9504,1.68,86455
"합계",서초구,170382,412275,196224,216051,407840,194116,213724,4435,2108,2327,2.39,66556
"합계",강남구,243510,559720,267549,292171,554280,265082,289198,5440,2467,2973,2.28,88662
"합계",송파구,287052,659661,316590,343071,653736,313887,339849,5925,2703,3222,2.28,110520
"합계",강동구,205071,465549,227085,238464,461367,225275,236092,4182,1810,2372,2.25,84456
